0,0,-5,,,,,,,
5,5,0,-21,,,,,,
25,25,21,0,-66,,,,,
91,91,86,66,0,-112,,,,
201,201,197,176,112,0,-64,,,
268,268,263,243,177,66,0,-19,,
286,286,280,261,196,83,19,0,-11,
298,298,292,271,206,94,30,11,0,-7
303,303,299,278,212,102,35,16,7,0
303,303,299,278,212,102,35,16,7,0
