0,1762,8213,29462,36268,42767,46509,50862,59245,66501,73114,74581,74797,74858,74871,74871
11,1967,11484,40737,49855,59263,66218,72303,85089,95894,106536,108783,109143,109295,109311,109311
12,1918,7930,28110,34556,40739,44172,48591,57135,64676,71065,72401,72586,72620,72637,72637
13,1729,6908,24560,30740,36398,39227,42578,48573,54015,58762,59766,59924,59982,59993,59993
14,2138,11336,40195,49072,57443,62730,69583,83732,95564,107048,109818,110173,110239,110261,110261
15,1210,6672,25435,30999,36192,38685,41936,47568,52221,56611,57765,57940,57980,57980,57980
