0,1762,8213,29430,36221,42675,46398,50723,59087,66335,72946,74412,74628,74689,74702,74702
11,1967,11484,40697,49795,59139,66064,72117,84881,95677,106315,108560,108920,109073,109088,109088
12,1918,7930,28085,34517,40660,44075,48470,56998,64532,70919,72254,72439,72473,72490,72490
13,1729,6908,24532,30699,36318,39132,42459,48438,53874,58618,59622,59780,59838,59849,59849
14,2138,11336,40142,48998,57314,62579,69387,83507,95328,106809,109577,109932,109998,110020,110020
15,1210,6672,25402,30951,36105,38580,41801,47412,52057,56445,57598,57774,57813,57813,57813
